episode,reward,length,success,seed
233,-150.72416607027992,153,1.0,7
234,-199.261509993524,200,0.0,7
235,-199.5727885199803,200,0.0,7
236,-199.51026207646186,200,0.0,7
237,-105.95051349966745,107,1.0,7
238,-162.30817385063563,165,1.0,7
239,-92.88548448751675,94,1.0,7
240,-151.41732002115458,154,1.0,7
241,-199.58392686836353,200,0.0,7
242,-198.7413273454876,200,0.0,7
243,-199.8838042043308,200,0.0,7
244,-144.6442783853039,147,1.0,7
245,-120.58258534961784,122,1.0,7
246,-199.53738836063795,200,0.0,7
247,-106.61839571816381,108,1.0,7
248,-197.59438799098797,200,0.0,7
249,-199.45879570337405,200,0.0,7
250,-88.87033709746322,90,1.0,7
251,-199.22263909649885,200,0.0,7
252,-191.303387928862,193,1.0,7
253,-199.51344965365897,200,0.0,7
254,-197.1752242436974,200,0.0,7
255,-197.86926908030227,200,0.0,7
256,-89.86422617631032,91,1.0,7
257,-199.38714397147555,200,0.0,7
258,-106.94910939597247,108,1.0,7
259,-174.19269830688282,177,1.0,7
260,-148.72723685985548,151,1.0,7
261,-98.91728114673461,100,1.0,7
262,-90.86745777835606,92,1.0,7
263,-199.4887785269594,200,0.0,7
264,-199.39679376431755,200,0.0,7
265,-199.56127841511363,200,0.0,7
266,-168.33207560352528,170,1.0,7
267,-199.52835107621513,200,0.0,7
268,-155.3874405497336,158,1.0,7
269,-151.63374265147718,154,1.0,7
270,-150.6781958193169,153,1.0,7
271,-94.8697251639795,96,1.0,7
272,-199.60135326602844,200,0.0,7
273,-153.43457547054274,156,1.0,7
274,-199.40730878553595,200,0.0,7
275,-199.25604888173257,200,0.0,7
276,-149.5981189760204,152,1.0,7
277,-89.83294980875799,91,1.0,7
278,-96.90145371369437,98,1.0,7
279,-199.44017631203155,200,0.0,7
280,-88.81263156604037,90,1.0,7
281,-99.91125935012239,101,1.0,7
282,-87.78994395334152,89,1.0,7
283,-88.81667471430409,90,1.0,7
284,-199.49975730077864,200,0.0,7
285,-199.57557560796008,200,0.0,7
286,-199.53232030163926,200,0.0,7
287,-173.20381415991358,176,1.0,7
288,-85.776469580963,87,1.0,7
289,-91.86028815832688,93,1.0,7
290,-86.83390640293945,88,1.0,7
291,-154.3895724489296,157,1.0,7
292,-85.79912980899535,87,1.0,7
293,-91.89080983815943,93,1.0,7
294,-150.5308690479607,153,1.0,7
295,-199.539967573668,200,0.0,7
296,-98.92552926988573,100,1.0,7
297,-148.73901363558835,151,1.0,7
298,-90.88834956503712,92,1.0,7
299,-106.94342013088212,108,1.0,7
300,-96.91588467674441,98,1.0,7
